statement_date,paragraph_num,paragraph_text,positive_score,negative_score,neutral_score,sentiment_label,date,year_month,DATE,sp500,ret_1m,ret_1m_next,firstdiff_1m,vol_3m,vol_6m,ret_1m_z,ret_1m_next_z,vol_3m_z,vol_6m_z,ret_high_negative,ret_negative,ret_flat,ret_positive,ret_high_positive,category_sum,ret_regime,next_ret_high_negative,next_ret_negative,next_ret_flat,next_ret_positive,next_ret_high_positive,target
Jan2020,1,"Information received since the Federal Open Market Committee met in December indicates that the labor market remains strong and that economic activity has been rising at a moderate rate. Job gains have been solid, on average, in recent months, and the unemployment rate has remained low. Although household spending has been rising at a moderate pace, business fixed investment and exports remain weak. On a 12month basis, overall inflation and inflation for items other than food and energy are running below 2 percent. Market-based measures of inflation compensation remain low; survey- based measures of longer-term inflation expectations are little changed.",0.056573384,0.8834434,0.05998325,negative,2020-01-01,2020-01,2020-01-31,3225.52,-0.0016280898111292,-0.0841104690096481,-5.260000000000218,0.0192163964690263,0.0196892810202336,-0.2720306481883222,-2.125193380516362,-0.7271049914416268,-1.034055014721988,0,1,0,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0
Jan2020,2,"Consistent with its statutory mandate, the Committee seeks to foster maximum employment and price stability. The Committee decided to maintain the target range for the federal funds rate at 11/2 to 1-3/4 percent. The Committee judges that the current stance of monetary policy is appropriate to support sustained expansion of economic activity, strong labor market conditions, and inflation returning to the Committee’s symmetric 2 percent objective. The Committee will continue to monitor the implications of incoming information for the economic outlook, including global developments and muted inflation pressures, as it assesses the appropriate path of the target range for the federal funds rate.",0.48253313,0.016137535,0.5013293,neutral,2020-01-01,2020-01,2020-01-31,3225.52,-0.0016280898111292,-0.0841104690096481,-5.260000000000218,0.0192163964690263,0.0196892810202336,-0.2720306481883222,-2.125193380516362,-0.7271049914416268,-1.034055014721988,0,1,0,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0
Jan2020,3,"In determining the timing and size of future adjustments to the target range for the federal funds rate, the Committee will assess realized and expected economic conditions relative to its maximum employment objective and its symmetric 2 percent inflation objective. This assessment will take into account a wide range of information, including measures of labor market conditions, indicators of inflation pressures and inflation expectations, and readings on financial and international developments.",0.054692704,0.024860946,0.9204464,neutral,2020-01-01,2020-01,2020-01-31,3225.52,-0.0016280898111292,-0.0841104690096481,-5.260000000000218,0.0192163964690263,0.0196892810202336,-0.2720306481883222,-2.125193380516362,-0.7271049914416268,-1.034055014721988,0,1,0,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0
Jan2020,4,"Voting for the monetary policy action were Jerome H. Powell, Chair; John C. Williams, Vice Chair; Michelle W. Bowman; Lael Brainard; Richard H. Clarida; Patrick Harker; Robert S. Kaplan; Neel Kashkari; Loretta J. Mester; and Randal K. Quarles.",0.03139901,0.07243039,0.89617056,neutral,2020-01-01,2020-01,2020-01-31,3225.52,-0.0016280898111292,-0.0841104690096481,-5.260000000000218,0.0192163964690263,0.0196892810202336,-0.2720306481883222,-2.125193380516362,-0.7271049914416268,-1.034055014721988,0,1,0,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0
Jan2020,5,"Decisions Regarding Monetary Policy Implementation The Federal Reserve has made the following decisions to implement the monetary policy stance announced by the Federal Open Market Committee in its statement on January 29, 2020:",0.039891742,0.031060215,0.92904806,neutral,2020-01-01,2020-01,2020-01-31,3225.52,-0.0016280898111292,-0.0841104690096481,-5.260000000000218,0.0192163964690263,0.0196892810202336,-0.2720306481883222,-2.125193380516362,-0.7271049914416268,-1.034055014721988,0,1,0,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0
Jan2020,6,"•The Board of Governors of the Federal Reserve System voted unanimously to set the interest rate paid on required and excess reserve balances at 1.60 percent, effective January 30, 2020. Setting the interest rate paid on required and excess reserve balances 10 basis points above the bottom of the target range for the federal funds rate is intended to foster trading in the federal funds market at rates well within the FOMC’s target range.",0.1467552,0.016164102,0.83708066,neutral,2020-01-01,2020-01,2020-01-31,3225.52,-0.0016280898111292,-0.0841104690096481,-5.260000000000218,0.0192163964690263,0.0196892810202336,-0.2720306481883222,-2.125193380516362,-0.7271049914416268,-1.034055014721988,0,1,0,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0
Jan2020,7,"•As part of its policy decision, the Federal Open Market Committee voted to authorize and direct the Open Market Desk at the Federal Reserve Bank of New York, until instructed otherwise, to execute transactions in the System Open Market Account in accordance with the following domestic policy directive: “Effective January 30, 2020, the Federal Open Market Committee directs the Desk to undertake open market operations as necessary to maintain the federal funds rate in a target range of 1-1/2 to 1-3/4 percent. In light of recent and expected increases in the Federal Reserve’s non-reserve liabilities, the Committee directs the Desk to continue purchasing Treasury bills at least into the second quarter of 2020 to maintain over time ample reserve balances at or above the level that prevailed in early September 2019. The Committee also directs the Desk to continue conducting term and overnight repurchase agreement operations at least through April 2020 to ensure that the supply of reserves remains ample even during periods of sharp increases in non-reserve liabilities, and to mitigate the risk of money market pressures that could adversely affect policy implementation. In addition, the Committee directs the Desk to conduct overnight reverse repurchase operations (and reverse repurchase operations with maturities of more than one day when necessary to accommodate weekend, holiday, or similar trading conventions) at an offering rate of 1.50 percent, in amounts limited only by the value of Treasury securities held outright in the System Open Market Account that are available for such operations and by a per-counterparty limit of $30 billion per day. The Committee directs the Desk to continue rolling over at auction all principal payments from the Federal Reserve’s holdings of Treasury securities and to continue reinvesting all principal payments from the Federal Reserve’s holdings of agency debt and agency mortgage-backed securities received during each calendar month. Principal payments from agency debt and agency mortgage- backed securities up to $20 billion per month will continue to be reinvested in Treasury securities to roughly match the maturity composition of Treasury securities outstanding; principal payments in excess of $20 billion per month will continue to be reinvested in agency mortgage-backed securities. Small deviations from these amounts for operational reasons are acceptable. The Committee also directs the Desk to engage in dollar roll and coupon swap transactions as necessary to facilitate settlement of the Federal Reserve’s agency mortgage-backed securities transactions.”",0.122178026,0.017378127,0.86044383,neutral,2020-01-01,2020-01,2020-01-31,3225.52,-0.0016280898111292,-0.0841104690096481,-5.260000000000218,0.0192163964690263,0.0196892810202336,-0.2720306481883222,-2.125193380516362,-0.7271049914416268,-1.034055014721988,0,1,0,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0
Jan2020,8,"•In a related action, the Board of Governors of the Federal Reserve System voted unanimously to approve the establishment of the primary credit rate at the existing level of 2.25 percent. This information will be updated as appropriate to reflect decisions of the Federal Open Market Committee or the Board of Governors regarding details of the Federal Reserve’s operational tools and approach used to implement monetary policy. More information regarding open market operations and reinvestments may be found on the Federal Reserve Bank of New York’s website.",0.04584465,0.020119056,0.9340363,neutral,2020-01-01,2020-01,2020-01-31,3225.52,-0.0016280898111292,-0.0841104690096481,-5.260000000000218,0.0192163964690263,0.0196892810202336,-0.2720306481883222,-2.125193380516362,-0.7271049914416268,-1.034055014721988,0,1,0,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0
March2020,1,"The fundamentals of the U.S. economy remain strong. However, the coronavirus poses evolving risks to economic activity. In light of these risks and in support of achieving its maximum employment and price stability goals, the Federal Open Market Committee decided today to lower the target range for the federal funds rate by 1/2 percentage point, to 1 to 1-1/4 percent. The Committee is closely monitoring developments and their implications for the economic outlook and will use its tools and act as appropriate to support the economy.",0.102117084,0.36582416,0.5320587,neutral,2020-03-01,2020-03,2020-03-31,2584.59,-0.1251193208359565,0.1268441029331537,-369.62999999999965,0.0628956184833088,0.0669394041507747,-3.046554726279314,2.6144025760662624,0.867131111311093,1.211337921836404,1,0,0,0,0,1,-2.0,1.0,0.0,0.0,0.0,0.0,0
March2020,2,"Voting for the monetary policy action were Jerome H. Powell, Chair; John C. Williams, Vice Chair; Michelle W. Bowman; Lael Brainard; Richard H. Clarida; Patrick Harker; Robert S. Kaplan; Neel Kashkari; Loretta J. Mester; and Randal K. Quarles.",0.03139901,0.07243039,0.89617056,neutral,2020-03-01,2020-03,2020-03-31,2584.59,-0.1251193208359565,0.1268441029331537,-369.62999999999965,0.0628956184833088,0.0669394041507747,-3.046554726279314,2.6144025760662624,0.867131111311093,1.211337921836404,1,0,0,0,0,1,-2.0,1.0,0.0,0.0,0.0,0.0,0
